gameid,date,team,position,playername,performance
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Golden Guardians,top,Licorice,1447.9
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Golden Guardians,jng,River,1023.7
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Golden Guardians,mid,Gori,869.4
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Golden Guardians,bot,Stixxay,1249.9
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Golden Guardians,sup,huhi,952.6999999999999
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Team BDS,top,Adam,2282.4
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Team BDS,jng,Sheo,1267.0
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Team BDS,mid,nuc,2444.4
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Team BDS,bot,Crownie,1468.4
ESPORTSTMNT06_2827798,2023-10-09 04:09:51,Team BDS,sup,Labrov,1379.7
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Golden Guardians,top,Licorice,2903.6
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Golden Guardians,jng,River,1709.5
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Golden Guardians,mid,Gori,3818.1
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Golden Guardians,bot,Stixxay,2461.0
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Golden Guardians,sup,huhi,2367.4
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Team BDS,top,Adam,2683.7
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Team BDS,jng,Sheo,2616.2
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Team BDS,mid,nuc,4161.7
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Team BDS,bot,Crownie,2791.1
ESPORTSTMNT06_2828803,2023-10-09 04:51:13,Team BDS,sup,Labrov,2000.9
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Team BDS,top,Adam,3253.3
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Team BDS,jng,Sheo,1665.2
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Team BDS,mid,nuc,2483.8
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Team BDS,bot,Crownie,3242.5
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Team BDS,sup,Labrov,2012.5
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Golden Guardians,top,Licorice,2072.8
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Golden Guardians,jng,River,1290.8
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Golden Guardians,mid,Gori,2463.7
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Golden Guardians,bot,Stixxay,2811.8
ESPORTSTMNT06_2827812,2023-10-09 05:46:19,Golden Guardians,sup,huhi,1390.5
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,PSG Talon,top,Azhi,3351.3
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,PSG Talon,jng,JunJia,2435.6
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,PSG Talon,mid,Maple,3194.6
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,PSG Talon,bot,Wako,3877.4
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,PSG Talon,sup,Woody,2257.7
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,Movistar R7,top,Bong,1842.1
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,Movistar R7,jng,Oddie,1786.7
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,Movistar R7,mid,Mireu,2785.4
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,Movistar R7,bot,Ceo,3447.5
ESPORTSTMNT06_2829811,2023-10-10 07:17:44,Movistar R7,sup,Lyonz,1880.4
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,PSG Talon,top,Azhi,3313.5
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,PSG Talon,jng,JunJia,2367.7000000000003
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,PSG Talon,mid,Maple,3732.8
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,PSG Talon,bot,Wako,3269.4
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,PSG Talon,sup,Woody,2160.4
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,Movistar R7,top,Bong,1433.7
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,Movistar R7,jng,Oddie,1237.0
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,Movistar R7,mid,Mireu,2113.4
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,Movistar R7,bot,Ceo,2571.1
ESPORTSTMNT06_2829821,2023-10-10 08:06:09,Movistar R7,sup,Lyonz,1761.9
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,LOUD,top,Robo,2313.4
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,LOUD,jng,Croc,1513.0
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,LOUD,mid,tinowns,2243.4
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,LOUD,bot,Route,4156.7
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,LOUD,sup,Ceos,2305.3
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,GAM Esports,top,Kiaya,2449.2
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,GAM Esports,jng,Levi,1209.5
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,GAM Esports,mid,Kati,1626.1
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,GAM Esports,bot,Slayder,2173.8
ESPORTSTMNT06_2827855,2023-10-10 09:10:30,GAM Esports,sup,Palette,1378.6999999999998
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,GAM Esports,top,Kiaya,3837.1
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,GAM Esports,jng,Levi,3146.0
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,GAM Esports,mid,Kati,3177.2
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,GAM Esports,bot,Slayder,3172.6
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,GAM Esports,sup,Palette,2318.5
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,LOUD,top,Robo,4311.9
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,LOUD,jng,Croc,3360.8
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,LOUD,mid,tinowns,4899.5
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,LOUD,bot,Route,5208.6
ESPORTSTMNT06_2828853,2023-10-10 09:59:06,LOUD,sup,Ceos,3063.0
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,DetonatioN FocusMe,top,apaMEN,2447.6
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,DetonatioN FocusMe,jng,Steal,1721.0
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,DetonatioN FocusMe,mid,Aria,3285.3
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,DetonatioN FocusMe,bot,Yutapon,2104.6
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,DetonatioN FocusMe,sup,Harp,3017.7999999999997
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,CTBC Flying Oyster,top,Rest,4085.9
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,CTBC Flying Oyster,jng,Gemini,2137.8
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,CTBC Flying Oyster,mid,JimieN,4140.0
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,CTBC Flying Oyster,bot,Shunn,3400.7
ESPORTSTMNT06_2828871,2023-10-11 07:13:58,CTBC Flying Oyster,sup,ShiauC,2210.2
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,CTBC Flying Oyster,top,Rest,2873.5
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,CTBC Flying Oyster,jng,Gemini,2020.2
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,CTBC Flying Oyster,mid,JimieN,3869.8
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,CTBC Flying Oyster,bot,Shunn,3941.3
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,CTBC Flying Oyster,sup,ShiauC,2416.5
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,DetonatioN FocusMe,top,apaMEN,1318.0
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,DetonatioN FocusMe,jng,Steal,1425.8
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,DetonatioN FocusMe,mid,Aria,1912.8
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,DetonatioN FocusMe,bot,Yutapon,2813.9
ESPORTSTMNT06_2828884,2023-10-11 08:08:50,DetonatioN FocusMe,sup,Harp,1563.5
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team BDS,top,Adam,2935.2
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team BDS,jng,Sheo,1677.2
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team BDS,mid,nuc,2691.6
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team BDS,bot,Crownie,2545.2
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team BDS,sup,Labrov,1255.6999999999998
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team Whales,top,Sparda,1204.8
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team Whales,jng,BeanJ,1242.3
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team Whales,mid,Gloryy,1779.9
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team Whales,bot,Artemis,1521.2
ESPORTSTMNT06_2829857,2023-10-11 09:03:55,Team Whales,sup,Bie,1517.5
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team BDS,top,Adam,3325.7
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team BDS,jng,Sheo,1659.2
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team BDS,mid,nuc,3082.5
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team BDS,bot,Crownie,4945.4
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team BDS,sup,Labrov,2083.4
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team Whales,top,Sparda,2737.2
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team Whales,jng,BeanJ,3152.1
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team Whales,mid,Gloryy,4464.7
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team Whales,bot,Artemis,5803.5
ESPORTSTMNT06_2829862,2023-10-11 09:46:26,Team Whales,sup,Bie,2672.8
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team Whales,top,Sparda,3708.1
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team Whales,jng,BeanJ,2602.5
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team Whales,mid,Gloryy,3841.4
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team Whales,bot,Artemis,5108.7
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team Whales,sup,Bie,2502.0
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team BDS,top,Adam,3272.2
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team BDS,jng,Sheo,2691.5
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team BDS,mid,nuc,3733.6
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team BDS,bot,Crownie,4674.0
ESPORTSTMNT06_2829863,2023-10-11 10:47:43,Team BDS,sup,Labrov,2082.9
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,PSG Talon,top,Azhi,4811.2
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,PSG Talon,jng,JunJia,3963.8
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,PSG Talon,mid,Maple,3882.6
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,PSG Talon,bot,Wako,3804.3
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,PSG Talon,sup,Woody,2241.7
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,LOUD,top,Robo,3345.0
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,LOUD,jng,Croc,2002.0
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,LOUD,mid,tinowns,2954.8
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,LOUD,bot,Route,3613.7
ESPORTSTMNT06_2828898,2023-10-12 07:12:22,LOUD,sup,Ceos,2091.5
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,LOUD,top,Robo,1979.0
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,LOUD,jng,Croc,1850.5
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,LOUD,mid,tinowns,2391.9
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,LOUD,bot,Route,3192.2
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,LOUD,sup,Ceos,1515.1000000000001
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,PSG Talon,top,Azhi,3949.2
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,PSG Talon,jng,JunJia,3479.6
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,PSG Talon,mid,Maple,3799.8
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,PSG Talon,bot,Wako,3973.0
ESPORTSTMNT06_2828912,2023-10-12 08:06:59,PSG Talon,sup,Woody,2275.8
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,CTBC Flying Oyster,top,Rest,4078.2
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,CTBC Flying Oyster,jng,Gemini,2090.3
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,CTBC Flying Oyster,mid,JimieN,2956.2
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,CTBC Flying Oyster,bot,Shunn,3043.1
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,CTBC Flying Oyster,sup,ShiauC,2297.0
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,Team Whales,top,Sparda,2070.7
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,Team Whales,jng,BeanJ,1568.6000000000001
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,Team Whales,mid,Gloryy,2582.5
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,Team Whales,bot,Artemis,2994.7
ESPORTSTMNT06_2827908,2023-10-12 09:04:53,Team Whales,sup,Bie,1590.4
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,Team Whales,top,Sparda,3031.2
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,Team Whales,jng,BeanJ,2355.6
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,Team Whales,mid,Gloryy,2059.9
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,Team Whales,bot,Artemis,3136.4
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,Team Whales,sup,Bie,1851.8
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,CTBC Flying Oyster,top,Rest,2497.5
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,CTBC Flying Oyster,jng,Gemini,1497.0
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,CTBC Flying Oyster,mid,JimieN,2484.9
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,CTBC Flying Oyster,bot,Shunn,2027.7
ESPORTSTMNT06_2828919,2023-10-12 09:55:53,CTBC Flying Oyster,sup,ShiauC,1835.1
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,CTBC Flying Oyster,top,Rest,3421.9
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,CTBC Flying Oyster,jng,Gemini,2557.0
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,CTBC Flying Oyster,mid,JimieN,5030.6
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,CTBC Flying Oyster,bot,Shunn,5048.3
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,CTBC Flying Oyster,sup,ShiauC,2348.8
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,Team Whales,top,Sparda,5067.0
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,Team Whales,jng,BeanJ,2501.7
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,Team Whales,mid,Gloryy,4580.3
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,Team Whales,bot,Artemis,4450.7
ESPORTSTMNT06_2827915,2023-10-12 10:47:24,Team Whales,sup,Bie,2980.1000000000004
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,Movistar R7,top,Bong,2191.9
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,Movistar R7,jng,Oddie,1413.1999999999998
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,Movistar R7,mid,Mireu,2008.5
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,Movistar R7,bot,Ceo,2956.6
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,Movistar R7,sup,Lyonz,1484.4
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,GAM Esports,top,Kiaya,2329.6
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,GAM Esports,jng,Levi,2333.1
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,GAM Esports,mid,Kati,3051.5
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,GAM Esports,bot,Slayder,3074.6
ESPORTSTMNT06_2827919,2023-10-13 07:10:31,GAM Esports,sup,Palette,2061.2000000000003
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,Movistar R7,top,Bong,3395.6
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,Movistar R7,jng,Oddie,1983.4
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,Movistar R7,mid,Mireu,2548.1
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,Movistar R7,bot,Ceo,3061.1
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,Movistar R7,sup,Lyonz,1939.6
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,top,Kiaya,4185.8
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,jng,Levi,3339.4
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,mid,Kati,3904.2
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,bot,Slayder,3458.4
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,sup,Palette,2507.8
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,top,apaMEN,1909.8
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,jng,Steal,1925.8000000000002
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,mid,Aria,2407.0
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,bot,Yutapon,2111.1
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,sup,Harp,1442.1000000000001
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,top,Adam,2931.5
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,jng,Sheo,1551.3000000000002
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,mid,nuc,3058.1
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,bot,Crownie,2819.7
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,sup,Labrov,1899.1
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,top,Adam,3086.0
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,jng,Sheo,1881.5
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,mid,nuc,2113.3
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,bot,Crownie,4189.6
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,sup,Labrov,2217.1
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,top,apaMEN,1794.9
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,jng,Steal,1304.3000000000002
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,mid,Aria,3008.2
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,bot,Yutapon,2686.7
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,sup,Harp,1884.6000000000001
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,top,Robo,2753.9
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,jng,Croc,2347.4
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,mid,tinowns,3236.6
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,bot,Route,3966.0
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,sup,Ceos,1890.6
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,top,Kiaya,3491.3
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,jng,Levi,3117.7000000000003
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,mid,Kati,5973.4
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,bot,Slayder,4922.7
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,sup,Palette,2642.3
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,top,Robo,2911.7
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,jng,Croc,1677.3
